nom_centre,count_centre,classification_centre,nom_gauche,count_gauche,classification_gauche,nom_droite,count_droite,classification_droite
pourcent,2428,HR,droite,499,HR,pourcent,516,HR
élection,1842,HR,gauche,340,HR,élection,496,HR
juin,1467,HR,élection,269,HR,président,426,HR
droit,1437,IB,pourcent,261,HR,droite,391,HR
page,1258,N,président,256,N,gauche,390,HR
français,1139,N,parti,231,HR,parti,378,HR
droite,1112,HR,candidat,198,HR,majorité,339,HR
parti,1039,HR,an,190,N,candidat,309,HR
an,1030,N,ministre,177,HR,an,299,N
candidat,930,HR,tour,172,HR,tour,299,HR
gauche,881,HR,droit,160,HR,ministre,289,HR
président,842,N,juin,145,N,gouvernement,267,HR
tour,798,HR,majorité,144,HR,pays,261,N
majorité,783,HR,page,142,N,député,246,HR
mot,737,N,pouvoir,137,N,dissolution,238,HR
ministre,724,N,député,136,N,droit,236,HR
euro,724,IB,assemblée,136,HR,état,226,IB
programme,636,IB,campagne,126,HR,campagne,222,HR
campagne,635,HR,jour,123,N,assemblée,214,N
gouvernement,624,N,dissolution,121,HR,chef,205,HR
année,608,N,pays,119,N,page,205,N
juillet,599,HR,gouvernement,118,HR,jour,203,N
marché,548,IB,face,114,N,année,199,N
assemblée,537,IB,document,109,N,français,196,N
document,537,N,programme,109,IB,document,186,N
pays,528,N,vote,108,HR,juin,180,HR
cas,515,IB,dimanche,105,N,cas,169,N
dissolution,514,HR,heure,102,N,pouvoir,169,HR
vote,486,HR,électeur,102,HR,pen,163,HR
entreprise,486,N,fois,99,N,fois,156,N
député,477,N,chef,98,N,circonscription,154,HR
mesure,467,N,république,93,N,question,152,N
circonscription,465,HR,voix,92,N,face,147,N
milliard,465,N,cas,92,N,juillet,147,HR
point,460,HR,circonscription,91,HR,politique,146,HR
projet,453,IB,question,86,N,temps,145,N
face,445,N,pen,85,HR,dimanche,143,N
politique,441,N,tête,84,N,électeur,143,HR
semaine,434,N,français,84,N,entreprise,143,N
mois,425,N,côté,84,HR,heure,141,N
taux,424,HR,juillet,83,N,semaine,138,N
jour,420,I,monde,83,N,tête,135,HR
législative,417,HR,nouveau,82,N,vote,134,HR
prix,404,IB,etat,81,IB,monde,133,N
question,392,N,personne,80,N,mois,132,N
résultat,380,HR,force,78,HR,point,130,N
fois,371,N,all,76,N,législative,130,HR
économie,370,IB,projet,76,IB,soir,129,N
dimanche,370,N,année,76,N,euro,126,IB
baisse,362,N,place,75,N,programme,121,IB
électeur,360,HR,temps,74,N,voix,119,N
voix,354,N,gens,73,N,camp,119,N
chef,353,HR,partie,72,N,projet,116,N
hausse,348,IB,vie,72,N,fin,116,N
effet,347,N,politique,72,HR,république,115,HR
fin,345,N,soir,71,N,européen,115,IB
nouveau,338,N,groupe,71,HR,force,114,IB
pouvoir,336,HR,loi,70,IB,décision,113,N
place,332,N,semaine,67,N,jeu,111,N
position,332,HR,sarl,67,IB,scrutin,109,HR
etat,328,N,liberation,67,IB,élu,108,HR
tête,324,HR,point,66,N,crise,105,IB
personne,323,N,mesure,63,N,résultat,105,HR
sujet,320,N,fait,62,N,place,104,N
niveau,313,HR,histoire,62,N,côté,101,HR
annonce,311,IB,législative,61,HR,moment,100,N
million,311,N,fin,60,N,situation,97,N
site,306,N,–,60,N,ligne,97,N
réforme,304,IB,idée,60,N,million,96,IB
pen,303,HR,scrutin,60,HR,risque,93,HR
temps,303,N,culture,60,IB,alliance,93,HR
crise,301,IB,mois,59,N,dette,93,IB
banque,301,N,camp,57,N,nombre,90,N
situation,294,N,chose,56,N,partie,90,HR
risque,292,IB,victoire,54,N,marché,89,IB
compte,284,HR,alliance,53,HR,choix,87,N
scrutin,282,HR,centre,53,HR,compte,87,N
côté,278,HR,élu,53,HR,coalition,87,HR
partie,275,HR,résultat,52,N,accord,86,HR
dette,271,IB,liste,52,HR,centre,85,HR
echo,265,N,lieu,51,N,milliard,85,IB
victoire,262,HR,choix,50,N,loi,84,IB
camp,256,HR,militant,50,N,économie,83,IB
rapport,255,N,mouvement,50,HR,liste,82,HR
ligne,252,N,guerre,50,IB,position,82,HR
énergie,249,IB,peuple,49,IB,victoire,82,HR
finance,249,IB,situation,49,N,réforme,81,IB
loi,246,IB,coup,49,N,taux,81,IB
secteur,246,IB,score,48,IB,coup,80,N
groupe,245,HR,action,48,N,groupe,80,HR
début,243,N,travail,48,IB,début,79,N
soir,240,N,ville,48,N,vie,79,N
mardi,238,N,rapport,46,N,sujet,78,N
retraite,237,IB,constitution,46,IB,nouveau,78,N
république,237,HR,service,46,IB,personne,77,N
liste,235,HR,homme,46,N,histoire,77,N
force,234,N,liberté,46,IB,chose,76,N
maire,233,N,moment,46,N,lundi,76,N
travail,233,IB,média,45,IB,fait,75,N
right,232,HR,immigration,45,IB,immigration,75,IB
all,231,N,barrage,45,HR,homme,75,N
visitez,229,N,société,45,IB,raison,74,N
d´information,229,N,état,44,IB,affaire,74,IB
lundi,228,N,compte,44,N,mesure,73,N
centre,227,HR,débat,43,HR,service,72,N
coalition,225,HR,décision,43,N,matignon,72,N
moment,220,N,réforme,43,IB,bloc,72,HR
vie,219,IB,ligne,43,N,e,71,N
état,219,IB,antisémitisme,43,IB,patron,71,N
service,218,N,main,42,N,annonce,68,N
n’,217,N,accord,42,N,niveau,68,N
monde,208,N,coalition,41,HR,cadre,67,N
décision,206,N,raison,41,N,dirigeant,67,N
terme,204,HR,classe,41,IB,rapport,67,N
immigration,204,IB,formation,41,N,part,66,N
coût,203,IB,bloc,41,HR,débat,66,HR
société,203,IB,euro,41,IB,idée,63,N
événement,203,N,européen,40,IB,terme,63,HR
débat,202,HR,risque,40,IB,mouvement,63,HR
valeur,202,IB,mot,40,N,conseil,62,N
emploi,201,IB,n’,39,N,plan,62,N
alliance,199,HR,femme,39,N,retour,62,N
raison,199,N,nombre,39,N,société,61,IB
choix,198,N,matignon,38,N,maire,60,N
investisseur,195,IB,effet,38,N,mardi,60,N
conseil,193,N,million,38,N,sondage,59,HR
nombre,191,N,ensemble,38,N,main,59,N
sondage,191,HR,mardi,37,N,siège,59,HR
inflation,191,IB,violence,37,IB,cohabitation,58,HR
impôt,190,IB,position,37,N,guerre,58,IB
région,190,IB,territoire,37,N,exemple,58,N
achat,187,IB,parlement,36,HR,banque,58,IB
jeudi,187,N,front,36,HR,stratégie,58,HR
réseau,187,N,presse,36,N,prix,57,IB
siège,185,HR,forme,36,N,effet,56,N
vendredi,185,N,article,36,N,parlement,56,HR
dépense,184,IB,discours,36,N,secteur,55,IB
mercredi,183,N,conseiller,35,N,soutien,54,HR
candidature,179,HR,cause,35,N,finance,54,IB
part,179,N,conseil,35,N,travail,54,IB
exemple,176,N,ordre,35,N,doute,54,N
ensemble,176,N,début,35,N,valeur,53,IB
fait,175,N,responsabilité,35,N,texte,53,N
retour,174,N,…,34,N,emploi,52,IB
élu,173,HR,membre,34,N,réalité,52,N
cadre,173,N,jeu,34,N,sein,51,N
opposition,171,HR,réalité,34,N,candidature,51,HR
directeur,171,N,nom,34,N,institution,51,HR
commission,169,N,retraite,34,IB,besoin,50,IB
sein,167,N,exemple,34,N,antisémitisme,50,IB
action,166,N,part,34,N,formation,50,N
plan,164,N,sujet,33,N,score,50,HR
parlement,164,HR,suite,33,N,gens,49,N
déficit,164,N,défense,33,IB,période,49,N
heure,163,N,arrivée,33,N,électorat,49,HR
européen,163,IB,dynamique,33,N,jordan,49,IB
idée,163,N,secrétaire,32,N,forme,48,N
indice,162,IB,a,32,N,issue,48,N
bourse,159,IB,façon,32,N,défaite,48,HR
stratégie,158,HR,démocratie,32,IB,problème,47,N
bloc,157,HR,fascisme,31,IB,directeur,47,N
issue,157,IB,suffrage,31,HR,présidentielle,47,HR
accord,155,HR,opposition,31,HR,nom,47,N
affaire,155,IB,lendemain,31,N,retraite,47,IB
score,154,N,stratégie,31,N,ordre,47,N
proposition,149,IB,association,30,N,jeudi,47,N
financement,149,IB,régime,30,IB,ensemble,46,N
contexte,148,N,peur,30,IB,baisse,46,N
incertitude,147,IB,appel,30,N,scénario,46,N
électricité,147,IB,siège,30,HR,vue,46,N
gaz,147,IB,lutte,30,N,prise,45,N
chose,146,N,vue,29,N,avenir,45,IB
guerre,146,IB,scénario,29,N,investissement,45,IB
mai,145,N,espoir,29,N,intérêt,44,IB
zone,143,N,mobilisation,29,HR,démocratie,44,IB
redisseminated,143,N,colère,29,IB,mal,44,N
your,143,N,participation,29,N,territoire,44,IB
problème,142,N,maire,29,N,image,43,N
dirigeant,141,N,terrain,29,N,arrivée,43,N
cours,141,N,scène,29,N,mai,43,N
intérêt,140,IB,habitant,29,N,objectif,43,N
mouvement,138,HR,issue,29,N,membre,42,N
salaire,136,IB,annonce,28,N,ville,42,N
chiffre,135,IB,avril,28,N,organisation,42,N
activité,135,N,problème,28,N,budget,42,IB
membre,134,N,crise,28,IB,sécurité,42,IB
étude,134,IB,institution,28,HR,lendemain,41,N
mise,133,N,moyen,28,N,opposition,41,HR
jordan,131,N,candidature,27,HR,oeil,41,N
–,131,N,combat,27,IB,presse,41,N
objectif,130,N,texte,27,N,discussion,40,N
patron,129,N,cours,27,N,dépense,40,IB
cause,129,N,organisation,27,N,perspective,40,N
organisation,128,N,réseau,27,N,système,40,IB
budget,128,IB,cohabitation,27,HR,responsable,40,N
investissement,128,IB,avenir,27,IB,proche,39,N
suite,126,N,sens,26,N,manière,39,N
ville,126,N,école,26,IB,macroniste,39,HR
matière,126,N,sein,26,N,violence,39,IB
ménage,126,IB,soutien,26,IB,mandat,39,HR
conséquence,124,N,principe,26,N,proposition,39,HR
période,123,N,mise,26,N,action,38,IB
besoin,121,IB,famille,26,IB,investisseur,38,IB
base,121,N,chance,26,N,achat,38,IB
coup,120,N,valeur,26,IB,famille,38,IB
parole,120,N,unité,26,N,équipe,38,HR
lieu,119,N,porte,26,N,barrage,38,IB
logement,118,IB,niveau,26,N,activité,38,N
départ,118,N,peine,26,N,matin,38,N
jeu,117,N,retour,25,N,conseiller,38,HR
confiance,117,N,volonté,25,N,intérieur,38,HR
perspective,117,N,grâce,25,IB,cause,37,N
prise,116,N,social,25,IB,défense,37,HR
homme,116,N,solution,25,N,impôt,37,IB
revenu,116,IB,faveur,25,N,moyen,36,N
écart,115,N,mai,25,N,parlementaire,36,HR
minute,115,N,affaire,24,N,ukraine,36,IB
soutien,115,N,fond,24,N,déficit,36,IB
territoire,114,N,rn,24,N,croissance,36,IB
matignon,114,N,quartier,24,N,principe,36,N
presse,114,N,acte,24,N,responsabilité,36,N
ordre,113,N,personnalité,24,N,allié,36,IB
forme,113,N,citoyen,24,N,région,36,N
participation,113,N,électorat,24,HR,mise,35,N
suffrage,112,HR,menace,24,IB,hausse,35,IB
population,112,N,enfant,23,N,lieu,35,N
obligation,112,IB,journaliste,23,N,sens,35,N
histoire,111,N,veille,23,N,façon,35,N
jeune,111,N,manifestation,23,HR,poste,35,HR
moyenne,111,IB,attaque,23,IB,militant,35,N
conservateur,109,HR,promesse,23,IB,revanche,35,N
promesse,109,IB,syndicat,23,IB,régime,35,N
assurance,107,IB,besoin,23,N,parole,35,N
changement,106,N,communiste,23,HR,terrain,35,N
électorat,105,HR,racisme,23,IB,bureau,35,N
manière,105,N,urgence,23,N,troupe,34,N
vue,105,N,lundi,23,N,sortie,34,N
arrivée,105,N,macronie,23,HR,règle,34,N
production,104,IB,poste,23,N,condition,34,N
barrage,103,HR,car,23,N,conséquence,34,N
faveur,102,N,terme,23,HR,chance,34,N
climat,102,IB,population,23,N,urne,34,HR
fonds,102,IB,proposition,23,N,contexte,34,N
inquiétude,102,IB,cadre,23,N,article,34,N
gens,102,N,manière,22,N,incertitude,33,N
formation,101,IB,parole,22,IB,commission,33,N
doute,101,N,haine,22,IB,nation,33,IB
analyse,101,N,possibilité,22,N,mot,33,N
sentiment,100,N,équipe,22,N,capacité,33,N
mandat,100,HR,pire,22,N,réunion,33,N
institution,99,HR,urne,22,HR,garde,33,N
smic,99,IB,marche,22,HR,secrétaire,33,N
demande,99,N,image,21,N,peuple,33,N
crédit,98,IB,triangulaire,21,N,cours,33,N
poste,98,HR,coeur,21,N,occasion,32,N
engagement,96,N,impôt,21,IB,culture,32,N
revanche,96,N,mandat,21,HR,veille,32,N
main,96,N,milliard,21,N,promesse,32,IB
conférence,96,N,économie,21,IB,rôle,32,N
lfi,95,HR,direction,21,N,participation,32,N
image,95,N,siècle,21,N,grâce,32,IB
offre,95,N,message,21,N,ami,32,N
chômage,95,IB,titre,21,N,esprit,32,N
règle,95,N,justice,21,IB,chiffre,31,N
famille,95,IB,objectif,21,IB,confiance,31,N
priorité,94,IB,dos,21,N,citoyen,31,N
association,94,N,sondage,21,HR,signe,31,N
augmentation,94,IB,intérêt,21,N,sentiment,31,N
titre,94,N,changement,21,N,personnalité,31,N
condition,94,N,région,21,N,analyse,31,N
avenir,94,IB,argument,20,N,coeur,31,N
cohabitation,92,HR,montée,20,IB,peur,31,N
tension,92,IB,système,20,IB,échec,31,N
taxe,92,IB,présidentielle,20,HR,inquiétude,31,N
a,91,N,lien,20,N,fonction,31,N
enquête,91,IB,ministère,20,HR,possibilité,31,N
produit,91,IB,figure,20,N,départ,31,N
façon,90,N,parlementaire,20,HR,télévision,31,N
croissance,90,IB,acteur,20,N,fond,31,N
recherche,89,IB,centaine,20,N,suffrage,30,HR
source,89,N,nuit,20,N,chômage,30,IB
t,88,N,février,20,N,acteur,30,N
santé,88,IB,mort,20,IB,fédération,30,N
responsabilité,88,IB,macroniste,20,HR,vague,30,N
classe,87,IB,sorte,20,N,suite,30,N
facture,87,IB,plan,20,N,changement,30,N
impact,87,N,énergie,19,IB,relation,30,N
rôle,87,N,mal,19,N,constitution,30,HR
défense,87,IB,intérieur,19,HR,volonté,30,N
signe,86,N,juif,19,IB,lfi,29,HR
oeil,86,N,directeur,19,N,présidence,29,HR
peur,86,IB,désistement,19,N,police,29,IB
choc,86,IB,surprise,19,N,ambition,29,HR
commune,86,N,fils,19,N,appel,29,N
réponse,86,N,ci,19,N,priorité,29,N
sécurité,86,IB,jeudi,19,N,zone,29,N
communiqué,86,N,analyse,19,N,enfant,29,N
charge,85,N,secteur,19,IB,matière,29,N
réunion,85,N,commune,19,N,horizon,29,N
appel,84,N,matin,19,N,hypothèse,29,N
contrat,84,N,condition,19,N,absence,29,N
note,84,N,responsable,19,N,figure,28,N
capacité,84,N,événement,18,N,bourse,28,IB
scénario,84,N,fonction,18,N,offre,28,N
aide,83,N,zone,18,N,classe,28,IB
stabilité,83,IB,entreprise,18,IB,école,28,IB
avril,83,N,milieu,18,N,menace,28,N
ouverture,83,N,fonctionnaire,18,N,enjeu,28,IB
régime,83,N,nature,18,IB,femme,28,N
insécurité,83,N,proche,18,N,population,28,N
personnalité,82,N,égalité,18,IB,oeuvre,28,N
système,82,N,plupart,18,N,titre,28,N
principe,82,N,oeil,18,N,négociation,27,IB
car,82,N,hausse,18,IB,syndicat,27,IB
ministère,81,HR,échec,18,N,manifestation,27,IB
acteur,81,N,juge,18,N,poids,27,N
milieu,81,N,jeune,18,N,financement,27,IB
matin,81,N,défaite,18,N,macronie,27,HR
lendemain,80,N,pied,18,N,bataille,27,IB
vente,80,N,prix,18,IB,nomination,27,HR
agence,80,N,discussion,17,N,urgence,27,N
fonction,80,N,rôle,17,N,représentant,27,N
procédure,80,N,ami,17,N,bout,27,N
occasion,80,N,budget,17,IB,avril,27,N
terrain,79,N,samedi,17,N,adversaire,27,HR
discours,78,HR,terre,17,N,olivier,27,N
évolution,78,N,succès,17,N,fonctionnaire,27,N
salarié,78,N,nécessité,17,N,message,27,N
poids,77,N,patron,17,N,etat,27,IB
recette,77,N,période,17,N,base,27,N
enjeu,77,N,doute,17,N,tendance,26,N
grâce,77,N,rue,17,N,sport,26,IB
montée,76,N,écologiste,17,IB,table,26,N
voie,76,N,voie,17,N,avance,26,N
difficulté,76,N,dirigeant,17,N,fonds,26,IB
syndicat,76,IB,feu,17,N,ministère,26,N
négociation,76,N,nation,17,IB,demande,26,N
femme,76,N,conséquence,17,N,chaos,26,N
urgence,76,N,photo,16,N,conférence,26,N
école,75,IB,public,16,IB,choc,25,IB
bureau,75,HR,télévision,16,IB,vendredi,25,N
accès,75,N,création,16,N,partenaire,25,N
oeuvre,75,N,travailleur,16,IB,match,25,N
sens,75,N,contexte,16,N,dizaine,25,N
secrétaire,75,N,prise,16,N,écologiste,25,IB
x,75,N,matière,16,N,peine,25,N
urne,74,HR,route,16,N,octobre,25,N
surprise,74,N,préférence,16,N,car,25,N
carte,73,N,duel,16,HR,front,25,HR
suppression,73,IB,négociation,16,N,journaliste,25,N
intention,73,N,jordan,16,N,paysage,25,N
fond,73,N,journal,16,N,tension,24,IB
moyen,73,N,chemin,16,N,blocage,24,IB
âge,73,N,réponse,16,N,macronisme,24,HR
désistement,73,N,conservateur,15,HR,procuration,24,N
création,72,N,conflit,15,IB,génération,24,IB
date,72,N,augmentation,15,N,investiture,24,HR
peine,72,N,couleur,15,N,pire,24,N
marge,72,N,conférence,15,N,tf1,24,N
consommation,72,N,rang,15,N,terre,24,IB
total,72,N,indépendance,15,IB,mars,24,N
texte,72,N,science,15,IB,faveur,24,N
social,71,IB,emploi,15,IB,abstention,24,HR
culture,71,IB,époque,15,N,triangulaire,24,N
affiche,70,N,date,15,N,espoir,24,N
décret,69,IB,catégorie,15,N,combat,24,IB
transition,69,N,enjeu,15,IB,reste,24,N
nom,69,N,sécurité,15,IB,difficulté,24,N
triangulaire,69,N,champ,15,N,rue,24,N
militant,69,N,bataille,15,HR,époque,24,N
vague,68,N,janvier,15,N,date,23,N
responsable,68,N,accession,15,N,espace,23,N
durée,68,N,arme,15,IB,révolution,23,IB
message,68,N,élite,14,IB,marion,23,N
rn,67,N,accès,14,N,lr,23,N
antisémitisme,67,IB,profit,14,IB,pression,23,N
dollar,67,IB,octobre,14,N,opération,23,N
propos,67,N,millier,14,N,réseau,23,N
repère,67,N,festival,14,N,livre,23,N
fiscalité,67,IB,retrait,14,N,gestion,23,IB
bataille,66,IB,expression,14,N,instabilité,23,IB
constitution,66,HR,réunion,14,N,ouverture,23,N
client,66,N,erreur,14,N,démission,23,N
émission,66,IB,bras,14,N,moyenne,23,N
dynamique,65,N,mémoire,14,N,propos,23,N
enfant,65,N,aide,14,N,stratège,23,N
discussion,65,N,garde,14,N,dossier,23,N
tendance,65,N,base,14,N,minute,23,N
travailliste,64,IB,avis,14,N,haute,23,N
évêque,64,N,occasion,14,N,média,23,HR
macroniste,64,HR,capacité,14,N,porte,23,N
rejet,64,N,unie,14,N,discours,23,N
économiste,64,N,pacte,14,HR,information,23,N
porte,64,N,ouvrier,14,N,expert,23,N
nord,64,N,rupture,14,N,étude,23,N
pression,64,N,radical,14,IB,rn,22,N
défaite,64,N,engagement,14,HR,concurrence,22,HR
plupart,63,N,division,14,N,double,22,N
instabilité,63,N,faute,13,N,centaine,22,N
équipe,63,N,départ,13,N,rencontre,22,N
préférence,62,N,formule,13,N,marine,22,N
élément,62,N,adversaire,13,N,assurance,22,N
opération,62,N,danger,13,N,montée,22,N
sortie,62,N,frontière,13,IB,écart,22,N
septembre,62,N,illusion,13,N,dynamique,22,N
front,62,N,communiqué,13,N,différence,22,N
scène,62,N,paysage,13,N,engagement,22,N
horizon,61,N,mode,13,N,origine,22,N
opinion,61,N,financement,13,N,cabinet,22,HR
perte,61,IB,marianne,13,N,succès,22,N
capital,61,IB,relation,13,N,inverse,22,N
olivier,61,N,sénat,13,HR,septembre,21,N
étiquette,61,N,soldat,13,N,champ,21,N
département,61,IB,dizaine,13,N,agence,21,N
université,61,IB,recherche,13,IB,surprise,21,N
quartier,61,N,bureau,13,N,obligation,21,N
samedi,60,N,nord,13,N,mobilisation,21,IB
…,60,N,perspective,13,N,solution,21,N
veille,60,N,décembre,13,N,aide,21,IB
mal,60,N,tribune,13,N,élément,21,N
seuil,60,N,site,13,N,soirée,21,N
progression,60,N,passage,13,N,note,21,N
manifestation,59,HR,opposant,13,HR,scène,21,N
partenaire,59,N,alternative,13,HR,contraire,21,N
modèle,59,N,macronisme,13,HR,île,21,N
fortune,59,N,sortie,13,IB,carte,21,N
solution,59,N,progrès,13,IB,instant,21,N
ukraine,58,IB,santé,13,IB,vidéo,21,N
peuple,58,N,opinion,13,N,expérience,21,N
allié,58,N,musique,13,N,application,21,N
métropole,58,IB,initiative,13,N,déclaration,21,N
article,57,N,âge,13,N,crainte,20,N
éducation,57,IB,numéro,13,N,bannière,20,N
transport,57,IB,source,12,N,marge,20,N
spread,57,IB,historien,12,N,sorte,20,N
développement,57,IB,auteur,12,N,rendez-vous,20,N
absence,57,N,sentiment,12,N,nord,20,N
reprise,57,IB,priorité,12,N,train,20,N
écologiste,56,IB,confiance,12,N,estimation,20,N
démocratie,56,IB,influence,12,N,policier,20,N
actif,56,N,village,12,N,site,20,N
construction,56,IB,tf1,12,N,été,20,N
chute,56,N,hypothèse,12,N,processus,20,N
déclaration,56,N,ombre,12,N,reprise,20,N
dossier,56,N,oeuvre,12,N,janvier,20,N
instant,56,N,minute,12,N,entourage,20,N
professeur,56,N,paysan,12,N,administration,20,HR
train,55,N,professeur,12,N,couleur,20,N
bien,55,N,double,12,N,jeune,19,N
carburant,55,IB,environnement,12,IB,conservateur,19,HR
été,55,N,marché,12,N,journée,19,N
exception,55,N,x,12,N,source,19,N
critique,55,N,kilomètre,12,N,affiche,19,N
possibilité,55,N,absence,12,N,impact,19,N
réaction,55,N,représentant,12,N,inflation,19,IB
passage,54,N,réélection,12,HR,milieu,19,N
préoccupation,54,IB,idéologie,12,IB,haine,19,N
cabinet,54,HR,sursaut,12,N,alternance,19,N
garde,54,N,quotidien,12,N,consigne,19,N
cotisation,54,IB,table,12,N,moitié,19,N
équilibre,54,HR,police,12,N,fil,19,N
média,54,IB,investiture,12,HR,sénat,19,HR
échelle,54,N,aujourd’hui,12,N,climat,19,IB
intérieur,54,N,commission,12,HR,autorité,19,N
mars,54,N,travers,12,N,opinion,19,HR
présidentielle,54,HR,comité,12,HR,preuve,19,N
exclusion,53,N,habitude,11,N,mercredi,19,N
rupture,53,N,protection,11,N,préfet,19,N
détail,53,N,chômage,11,IB,exécutif,19,HR
abstention,53,HR,décret,11,N,colère,19,N
profession,53,IB,sociologue,11,N,réponse,19,N
prime,53,N,allié,11,N,égard,19,N
autorité,52,N,week,11,N,eau,19,N
crainte,52,N,train,11,N,plupart,19,N
fédération,52,N,mépris,11,N,échange,19,N
somme,52,N,différence,11,N,produit,19,N
patrimoine,52,N,mars,11,N,crédit,18,N
expérience,52,N,présence,11,N,automne,18,N
argent,52,N,minorité,11,N,méthode,18,N
étape,52,N,salle,11,N,intention,18,N
janvier,52,N,après-midi,11,N,impression,18,N
différence,52,N,information,11,N,quinquennat,18,HR
chaîne,51,N,catastrophe,11,N,attaque,18,N
aussilégislative,51,HR,piège,11,N,général,18,N
génération,51,IB,climat,11,N,indépendance,18,N
foi,51,N,paix,11,N,conviction,18,N
représentant,51,N,choc,11,N,nuit,18,N
labour,51,IB,journée,11,N,profit,18,N
menace,51,IB,inquiétude,11,N,chemin,18,N
référence,51,N,série,11,N,évolution,18,N
espace,51,N,calendrier,11,N,association,18,N
emprunt,51,IB,eau,11,N,décret,18,HR
démission,51,HR,disposition,11,N,délai,18,N
volonté,51,N,immense,11,N,acte,18,N
réalité,51,N,passé,11,N,right,18,HR
tarif,51,IB,socle,11,N,all,18,N
administration,50,HR,plateau,11,N,pratique,18,N